result_id	run_id	run_date	SampleName	source	sample	normal/tumor	sampleN	library	library_id	lane_id	partitioning	sample_type	read1	read2	study_id	note
8261511	HH3F2BGXX	2015-08-26	NCIC0011_200_E_Normal	NA19240	NCIC0011_200_E	Normal		NCIC0011_200_E			clin.ex.v1	Genomic DNA	/data/Clinomics/DATA/Sample_NCIC0011_200_E_HH3F2BGXX/Sample_NCIC0011_200_E_HH3F2BGXX_R1.fastq.gz	/data/Clinomics/DATA/Sample_NCIC0011_200_E_HH3F2BGXX/Sample_NCIC0011_200_E_HH3F2BGXX_R2.fastq.gz	ClinVal	Clinomics
8261512	HH3F2BGXX	2015-08-26	GIAB_200_E_Normal	GIAB	GIAB_200_E	Normal		GIAB_200_E			clin.ex.v1	Genomic DNA	/data/Clinomics/DATA/Sample_GIAB_200_E_HH3F2BGXX/Sample_GIAB_200_E_HH3F2BGXX_R1.fastq.gz	/data/Clinomics/DATA/Sample_GIAB_200_E_HH3F2BGXX/Sample_GIAB_200_E_HH3F2BGXX_R2.fastq.gz	ClinVal	Clinomics
8261513	HH3F2BGXX	2015-08-26	NCIC0010_200_P_Normal	NA21732	NCIC0010_200_P	Normal		NCIC0010_200_P			clin.snv.v1	Genomic DNA	/data/Clinomics/DATA/Sample_NCIC0010_200_P_HH3F2BGXX/Sample_NCIC0010_200_P_HH3F2BGXX_R1.fastq.gz	/data/Clinomics/DATA/Sample_NCIC0010_200_P_HH3F2BGXX/Sample_NCIC0010_200_P_HH3F2BGXX_R2.fastq.gz	ClinVal	Clinomics
8261514	HH3F2BGXX	2015-08-26	NCIC0010_100_P_Normal	NA21732	NCIC0010_100_P	Normal		NCIC0010_100_P			clin.snv.v1	Genomic DNA	/data/Clinomics/DATA/Sample_NCIC0010_100_P_HH3F2BGXX/Sample_NCIC0010_100_P_HH3F2BGXX_R1.fastq.gz	/data/Clinomics/DATA/Sample_NCIC0010_100_P_HH3F2BGXX/Sample_NCIC0010_100_P_HH3F2BGXX_R2.fastq.gz	ClinVal	Clinomics
8261515	HH3F2BGXX	2015-08-26	NCIC0011_200_P_Normal	NA19240	NCIC0011_200_P	Normal		NCIC0011_200_P			clin.snv.v1	Genomic DNA	/data/Clinomics/DATA/Sample_NCIC0011_200_P_HH3F2BGXX/Sample_NCIC0011_200_P_HH3F2BGXX_R1.fastq.gz	/data/Clinomics/DATA/Sample_NCIC0011_200_P_HH3F2BGXX/Sample_NCIC0011_200_P_HH3F2BGXX_R2.fastq.gz	ClinVal	Clinomics
8261516	HH3F2BGXX	2015-08-26	NCIC0011_100_P_Normal	NA19240	NCIC0011_100_P	Normal		NCIC0011_100_P			clin.snv.v1	Genomic DNA	/data/Clinomics/DATA/Sample_NCIC0011_100_P_HH3F2BGXX/Sample_NCIC0011_100_P_HH3F2BGXX_R1.fastq.gz	/data/Clinomics/DATA/Sample_NCIC0011_100_P_HH3F2BGXX/Sample_NCIC0011_100_P_HH3F2BGXX_R2.fastq.gz	ClinVal	Clinomics
8261517	HH3F2BGXX	2015-08-26	GIAB_200_P_Normal	GIAB	GIAB_200_P	Normal		GIAB_200_P			clin.snv.v1	Genomic DNA	/data/Clinomics/DATA/Sample_GIAB_200_P_HH3F2BGXX/Sample_GIAB_200_P_HH3F2BGXX_R1.fastq.gz	/data/Clinomics/DATA/Sample_GIAB_200_P_HH3F2BGXX/Sample_GIAB_200_P_HH3F2BGXX_R2.fastq.gz	ClinVal	Clinomics
8261518	HH3F2BGXX	2015-08-26	GIAB_100_P_Normal	GIAB	GIAB_100_P	Normal		GIAB_100_P			clin.snv.v1	Genomic DNA	/data/Clinomics/DATA/Sample_GIAB_100_P_HH3F2BGXX/Sample_GIAB_100_P_HH3F2BGXX_R1.fastq.gz	/data/Clinomics/DATA/Sample_GIAB_100_P_HH3F2BGXX/Sample_GIAB_100_P_HH3F2BGXX_R2.fastq.gz	ClinVal	Clinomics
9021501	HHFFHBGXX	2015-09-02	NCIC001_100_E_Normal	NA12880	NCIC001_100_E	Normal		NCIC001_100_E			clin.ex.v1	Genomic DNA	/data/Clinomics/DATA/Sample_NCIC001_100_E_HHFFHBGXX/Sample_NCIC001_100_E_HHFFHBGXX_R1.fastq.gz	/data/Clinomics/DATA/Sample_NCIC001_100_E_HHFFHBGXX/Sample_NCIC001_100_E_HHFFHBGXX_R2.fastq.gz	ClinVal	Clinomics
9021502	HHFFHBGXX	2015-09-02	NCIC002_100_E_Normal	NA18501	NCIC002_100_E	Normal		NCIC002_100_E			clin.ex.v1	Genomic DNA	/data/Clinomics/DATA/Sample_NCIC002_100_E_HHFFHBGXX/Sample_NCIC002_100_E_HHFFHBGXX_R1.fastq.gz	/data/Clinomics/DATA/Sample_NCIC002_100_E_HHFFHBGXX/Sample_NCIC002_100_E_HHFFHBGXX_R2.fastq.gz	ClinVal	Clinomics
9021503	HHFFHBGXX	2015-09-02	NCIC003_100_E_Normal	NA18526	NCIC003_100_E	Normal		NCIC003_100_E			clin.ex.v1	Genomic DNA	/data/Clinomics/DATA/Sample_NCIC003_100_E_HHFFHBGXX/Sample_NCIC003_100_E_HHFFHBGXX_R1.fastq.gz	/data/Clinomics/DATA/Sample_NCIC003_100_E_HHFFHBGXX/Sample_NCIC003_100_E_HHFFHBGXX_R2.fastq.gz	ClinVal	Clinomics
9021504	HHFFHBGXX	2015-09-02	NCIC001_100A_P_Normal	NA12880	NCIC001_100A_P	Normal		NCIC001_100A_P			clin.snv.v1	Genomic DNA	/data/Clinomics/DATA/Sample_NCIC001_100A_P_HHFFHBGXX/Sample_NCIC001_100A_P_HHFFHBGXX_R1.fastq.gz	/data/Clinomics/DATA/Sample_NCIC001_100A_P_HHFFHBGXX/Sample_NCIC001_100A_P_HHFFHBGXX_R2.fastq.gz	ClinVal	Clinomics
9021505	HHFFHBGXX	2015-09-02	NCIC001_100B_P_Normal	NA12880	NCIC001_100B_P	Normal		NCIC001_100B_P			clin.snv.v1	Genomic DNA	/data/Clinomics/DATA/Sample_NCIC001_100B_P_HHFFHBGXX/Sample_NCIC001_100B_P_HHFFHBGXX_R1.fastq.gz	/data/Clinomics/DATA/Sample_NCIC001_100B_P_HHFFHBGXX/Sample_NCIC001_100B_P_HHFFHBGXX_R2.fastq.gz	ClinVal	Clinomics
9021506	HHFFHBGXX	2015-09-02	NCIC002_100A_P_Normal	NA18501	NCIC002_100A_P	Normal		NCIC002_100A_P			clin.snv.v1	Genomic DNA	/data/Clinomics/DATA/Sample_NCIC002_100A_P_HHFFHBGXX/Sample_NCIC002_100A_P_HHFFHBGXX_R1.fastq.gz	/data/Clinomics/DATA/Sample_NCIC002_100A_P_HHFFHBGXX/Sample_NCIC002_100A_P_HHFFHBGXX_R2.fastq.gz	ClinVal	Clinomics
9021507	HHFFHBGXX	2015-09-02	NCIC002_100B_P_Normal	NA18501	NCIC002_100B_P	Normal		NCIC002_100B_P			clin.snv.v1	Genomic DNA	/data/Clinomics/DATA/Sample_NCIC002_100B_P_HHFFHBGXX/Sample_NCIC002_100B_P_HHFFHBGXX_R1.fastq.gz	/data/Clinomics/DATA/Sample_NCIC002_100B_P_HHFFHBGXX/Sample_NCIC002_100B_P_HHFFHBGXX_R2.fastq.gz	ClinVal	Clinomics
9021508	HHFFHBGXX	2015-09-02	NCIC003_100A_P_Normal	NA18526	NCIC003_100A_P	Normal		NCIC003_100A_P			clin.snv.v1	Genomic DNA	/data/Clinomics/DATA/Sample_NCIC003_100A_P_HHFFHBGXX/Sample_NCIC003_100A_P_HHFFHBGXX_R1.fastq.gz	/data/Clinomics/DATA/Sample_NCIC003_100A_P_HHFFHBGXX/Sample_NCIC003_100A_P_HHFFHBGXX_R2.fastq.gz	ClinVal	Clinomics
9021509	HHFFHBGXX	2015-09-02	NCIC003_100B_P_Normal	NA18526	NCIC003_100B_P	Normal		NCIC003_100B_P			clin.snv.v1	Genomic DNA	/data/Clinomics/DATA/Sample_NCIC003_100B_P_HHFFHBGXX/Sample_NCIC003_100B_P_HHFFHBGXX_R1.fastq.gz	/data/Clinomics/DATA/Sample_NCIC003_100B_P_HHFFHBGXX/Sample_NCIC003_100B_P_HHFFHBGXX_R2.fastq.gz	ClinVal	Clinomics
9021510	HH537BGXX	2015-09-02	NCIC004_100_E_Normal	NA18940	NCIC004_100_E	Normal		NCIC004_100_E			clin.ex.v1	Genomic DNA	/data/Clinomics/DATA/Sample_NCIC004_100_E_HH537BGXX/Sample_NCIC004_100_E_HH537BGXX_R1.fastq.gz	/data/Clinomics/DATA/Sample_NCIC004_100_E_HH537BGXX/Sample_NCIC004_100_E_HH537BGXX_R2.fastq.gz	ClinVal	Clinomics
9021511	HH537BGXX	2015-09-02	NCIC005_100_E_Normal	NA19017	NCIC005_100_E	Normal		NCIC005_100_E			clin.ex.v1	Genomic DNA	/data/Clinomics/DATA/Sample_NCIC005_100_E_HH537BGXX/Sample_NCIC005_100_E_HH537BGXX_R1.fastq.gz	/data/Clinomics/DATA/Sample_NCIC005_100_E_HH537BGXX/Sample_NCIC005_100_E_HH537BGXX_R2.fastq.gz	ClinVal	Clinomics
9021512	HH537BGXX	2015-09-02	NCIC006_100_E_Normal	NA19700	NCIC006_100_E	Normal		NCIC006_100_E			clin.ex.v1	Genomic DNA	/data/Clinomics/DATA/Sample_NCIC006_100_E_HH537BGXX/Sample_NCIC006_100_E_HH537BGXX_R1.fastq.gz	/data/Clinomics/DATA/Sample_NCIC006_100_E_HH537BGXX/Sample_NCIC006_100_E_HH537BGXX_R2.fastq.gz	ClinVal	Clinomics
9021513	HH537BGXX	2015-09-02	NCIC004_100A_P_Normal	NA18940	NCIC004_100A_P	Normal		NCIC004_100A_P			clin.snv.v1	Genomic DNA	/data/Clinomics/DATA/Sample_NCIC004_100A_P_HH537BGXX/Sample_NCIC004_100A_P_HH537BGXX_R1.fastq.gz	/data/Clinomics/DATA/Sample_NCIC004_100A_P_HH537BGXX/Sample_NCIC004_100A_P_HH537BGXX_R2.fastq.gz	ClinVal	Clinomics
9021514	HH537BGXX	2015-09-02	NCIC004_100B_P_Normal	NA18940	NCIC004_100B_P	Normal		NCIC004_100B_P			clin.snv.v1	Genomic DNA	/data/Clinomics/DATA/Sample_NCIC004_100B_P_HH537BGXX/Sample_NCIC004_100B_P_HH537BGXX_R1.fastq.gz	/data/Clinomics/DATA/Sample_NCIC004_100B_P_HH537BGXX/Sample_NCIC004_100B_P_HH537BGXX_R2.fastq.gz	ClinVal	Clinomics
9021515	HH537BGXX	2015-09-02	NCIC005_100A_P_Normal	NA19017	NCIC005_100A_P	Normal		NCIC005_100A_P			clin.snv.v1	Genomic DNA	/data/Clinomics/DATA/Sample_NCIC005_100A_P_HH537BGXX/Sample_NCIC005_100A_P_HH537BGXX_R1.fastq.gz	/data/Clinomics/DATA/Sample_NCIC005_100A_P_HH537BGXX/Sample_NCIC005_100A_P_HH537BGXX_R2.fastq.gz	ClinVal	Clinomics
9021516	HH537BGXX	2015-09-02	NCIC005_100B_P_Normal	NA19017	NCIC005_100B_P	Normal		NCIC005_100B_P			clin.snv.v1	Genomic DNA	/data/Clinomics/DATA/Sample_NCIC005_100B_P_HH537BGXX/Sample_NCIC005_100B_P_HH537BGXX_R1.fastq.gz	/data/Clinomics/DATA/Sample_NCIC005_100B_P_HH537BGXX/Sample_NCIC005_100B_P_HH537BGXX_R2.fastq.gz	ClinVal	Clinomics
9021517	HH537BGXX	2015-09-02	NCIC006_100A_P_Normal	NA19700	NCIC006_100A_P	Normal		NCIC006_100A_P			clin.snv.v1	Genomic DNA	/data/Clinomics/DATA/Sample_NCIC006_100A_P_HH537BGXX/Sample_NCIC006_100A_P_HH537BGXX_R1.fastq.gz	/data/Clinomics/DATA/Sample_NCIC006_100A_P_HH537BGXX/Sample_NCIC006_100A_P_HH537BGXX_R2.fastq.gz	ClinVal	Clinomics
9021518	HH537BGXX	2015-09-02	NCIC006_100B_P_Normal	NA19700	NCIC006_100B_P	Normal		NCIC006_100B_P			clin.snv.v1	Genomic DNA	/data/Clinomics/DATA/Sample_NCIC006_100B_P_HH537BGXX/Sample_NCIC006_100B_P_HH537BGXX_R1.fastq.gz	/data/Clinomics/DATA/Sample_NCIC006_100B_P_HH537BGXX/Sample_NCIC006_100B_P_HH537BGXX_R2.fastq.gz	ClinVal	Clinomics
9241501	HH5FWBGXX	2015-09-24	CL0015_T_E_Tumor	HD753	CL0015_T_E	Tumor	CL0020_N_E	CL0015_T_E			clin.ex.v1	Genomic DNA	/data/Clinomics/DATA/Sample_CL0015_T_E_HH5FWBGXX/Sample_CL0015_T_E_HH5FWBGXX_R1.fastq.gz	/data/Clinomics/DATA/Sample_CL0015_T_E_HH5FWBGXX/Sample_CL0015_T_E_HH5FWBGXX_R2.fastq.gz	ClinVal	Clinomics
9241502	HH5FWBGXX	2015-09-24	CL0016_T_E_Tumor	HD728	CL0016_T_E	Tumor	CL0020_N_E	CL0016_T_E			clin.ex.v1	Genomic DNA	/data/Clinomics/DATA/Sample_CL0016_T_E_HH5FWBGXX/Sample_CL0016_T_E_HH5FWBGXX_R1.fastq.gz	/data/Clinomics/DATA/Sample_CL0016_T_E_HH5FWBGXX/Sample_CL0016_T_E_HH5FWBGXX_R2.fastq.gz	ClinVal	Clinomics
9241503	HH5FWBGXX	2015-09-24	CL0017_T_E_Tumor	HD729	CL0017_T_E	Tumor	CL0020_N_E	CL0017_T_E			clin.ex.v1	Genomic DNA	/data/Clinomics/DATA/Sample_CL0017_T_E_HH5FWBGXX/Sample_CL0017_T_E_HH5FWBGXX_R1.fastq.gz	/data/Clinomics/DATA/Sample_CL0017_T_E_HH5FWBGXX/Sample_CL0017_T_E_HH5FWBGXX_R2.fastq.gz	ClinVal	Clinomics
9241504	HH5FWBGXX	2015-09-24	CL0015_T_P_Tumor	HD753	CL0015_T_P	Tumor	CL0020_N_P	CL0015_T_P			clin.snv.v1	Genomic DNA	/data/Clinomics/DATA/Sample_CL0015_T_P_HH5FWBGXX/Sample_CL0015_T_P_HH5FWBGXX_R1.fastq.gz	/data/Clinomics/DATA/Sample_CL0015_T_P_HH5FWBGXX/Sample_CL0015_T_P_HH5FWBGXX_R2.fastq.gz	ClinVal	Clinomics
9241505	HH5FWBGXX	2015-09-24	CL0016_T_P_Tumor	HD728	CL0016_T_P	Tumor	CL0020_N_P	CL0016_T_P			clin.snv.v1	Genomic DNA	/data/Clinomics/DATA/Sample_CL0016_T_P_HH5FWBGXX/Sample_CL0016_T_P_HH5FWBGXX_R1.fastq.gz	/data/Clinomics/DATA/Sample_CL0016_T_P_HH5FWBGXX/Sample_CL0016_T_P_HH5FWBGXX_R2.fastq.gz	ClinVal	Clinomics
9241506	HH5FWBGXX	2015-09-24	CL0017_T_P_Tumor	HD729	CL0017_T_P	Tumor	CL0020_N_P	CL0017_T_P			clin.snv.v1	Genomic DNA	/data/Clinomics/DATA/Sample_CL0017_T_P_HH5FWBGXX/Sample_CL0017_T_P_HH5FWBGXX_R1.fastq.gz	/data/Clinomics/DATA/Sample_CL0017_T_P_HH5FWBGXX/Sample_CL0017_T_P_HH5FWBGXX_R2.fastq.gz	ClinVal	Clinomics
9241507	HH5VFBGXX	2015-09-24	CL0018_T_E_Tumor	HD730	CL0018_T_E	Tumor	CL0020_N_E	CL0018_T_E			clin.ex.v1	Genomic DNA	/data/Clinomics/DATA/Sample_CL0018_T_E_HH5VFBGXX/Sample_CL0018_T_E_HH5VFBGXX_R1.fastq.gz	/data/Clinomics/DATA/Sample_CL0018_T_E_HH5VFBGXX/Sample_CL0018_T_E_HH5VFBGXX_R2.fastq.gz	ClinVal	Clinomics
9241508	HH5VFBGXX	2015-09-24	CL0019_T_E_Tumor	HD731	CL0019_T_E	Tumor	CL0020_N_E	CL0019_T_E			clin.ex.v1	Genomic DNA	/data/Clinomics/DATA/Sample_CL0019_T_E_HH5VFBGXX/Sample_CL0019_T_E_HH5VFBGXX_R1.fastq.gz	/data/Clinomics/DATA/Sample_CL0019_T_E_HH5VFBGXX/Sample_CL0019_T_E_HH5VFBGXX_R2.fastq.gz	ClinVal	Clinomics
9241509	HH5VFBGXX	2015-09-24	CL0020_N_E_Normal	HD752	CL0020_N_E	Normal		CL0020_N_E			clin.ex.v1	Genomic DNA	/data/Clinomics/DATA/Sample_CL0020_N_E_HH5VFBGXX/Sample_CL0020_N_E_HH5VFBGXX_R1.fastq.gz	/data/Clinomics/DATA/Sample_CL0020_N_E_HH5VFBGXX/Sample_CL0020_N_E_HH5VFBGXX_R2.fastq.gz	ClinVal	Clinomics
9241510	HH5VFBGXX	2015-09-24	CL0018_T_P_Tumor	HD730	CL0018_T_P	Tumor	CL0020_N_P	CL0018_T_P			clin.snv.v1	Genomic DNA	/data/Clinomics/DATA/Sample_CL0018_T_P_HH5VFBGXX/Sample_CL0018_T_P_HH5VFBGXX_R1.fastq.gz	/data/Clinomics/DATA/Sample_CL0018_T_P_HH5VFBGXX/Sample_CL0018_T_P_HH5VFBGXX_R2.fastq.gz	ClinVal	Clinomics
9241511	HH5VFBGXX	2015-09-24	CL0019_T_P_Tumor	HD731	CL0019_T_P	Tumor	CL0020_N_P	CL0019_T_P			clin.snv.v1	Genomic DNA	/data/Clinomics/DATA/Sample_CL0019_T_P_HH5VFBGXX/Sample_CL0019_T_P_HH5VFBGXX_R1.fastq.gz	/data/Clinomics/DATA/Sample_CL0019_T_P_HH5VFBGXX/Sample_CL0019_T_P_HH5VFBGXX_R2.fastq.gz	ClinVal	Clinomics
9241512	HH5VFBGXX	2015-09-24	CL0020_N_P_Normal	HD752	CL0020_N_P	Normal		CL0020_N_P			clin.snv.v1	Genomic DNA	/data/Clinomics/DATA/Sample_CL0020_N_P_HH5VFBGXX/Sample_CL0020_N_P_HH5VFBGXX_R1.fastq.gz	/data/Clinomics/DATA/Sample_CL0020_N_P_HH5VFBGXX/Sample_CL0020_N_P_HH5VFBGXX_R2.fastq.gz	ClinVal	Clinomics
